num_transactions,total_amount,avg_amount,std_amount,churn,current_age,gender,yearly_income,total_debt,credit_score,num_credit_cards
12795,625799.67,48.90970457209848,84.63574602409864,0,33,Male,59613.0,36199.0,763,4
10073,336187.37,33.37509877891393,52.139254014671046,0,43,Female,45360.0,14587.0,704,3
10612,291534.27,27.472132491519037,43.120595322983874,0,48,Male,27447.0,80850.0,673,5
6001,280685.46,46.77311448091985,40.74742976820815,0,49,Male,27943.0,18693.0,681,4
15043,595722.36,39.60130027255202,75.92425079927602,0,54,Female,76431.0,115362.0,716,5
4777,292902.6,61.31517688926104,119.1443228062808,0,65,Male,20614.0,14042.0,711,2
9994,585903.46,58.62552131278767,99.88326781581618,0,39,Female,67643.0,0.0,714,6
7109,242998.23,34.181773807849204,72.09116409709281,0,52,Female,32378.0,65919.0,588,4
5843,233831.77,40.01912887215472,87.97316482571975,0,79,Female,32232.0,21134.0,652,5
6829,378672.72,55.450683848294034,90.9279749788754,0,75,Male,22158.0,19101.0,681,5
17719,793586.04,44.78729273661042,61.26362445897894,0,76,Male,21867.0,21103.0,759,2
3268,54420.25,16.65246328029376,16.098862759396418,0,82,Female,34903.0,1336.0,630,1
11240,280935.52,24.99426334519573,70.49403613188043,0,86,Female,23371.0,0.0,757,8
8783,289834.49,32.99948650802687,68.71312822460057,0,48,Male,43084.0,0.0,850,3
2979,97891.4,32.8604900973481,72.0476739535963,0,56,Male,53966.0,135478.0,747,1
8682,358963.05,41.345663441603314,61.48464575852416,0,48,Female,38554.0,47186.0,708,1
9784,413891.13,42.302854660670484,86.97159511977773,0,78,Female,23821.0,22427.0,613,8
6571,409356.92,62.29750722873231,122.56167483471519,0,39,Female,54273.0,110237.0,789,4
8402,317816.06,37.8262389907165,72.21424587794006,0,82,Female,52315.0,3174.0,695,4
10746,520819.9,48.46639679880886,64.89774888555597,0,77,Female,38692.0,8902.0,596,5
14582,766659.22,52.57572486627348,95.49211011892679,0,41,Male,51854.0,72162.0,737,2
15275,399399.8,26.147286415711946,87.43328728811731,0,41,Female,34690.0,48954.0,683,4
13629,512966.48,37.63786631447648,62.366671726318835,0,45,Female,40006.0,72794.0,621,1
15212,887819.44,58.36309755456218,74.66823245747673,0,54,Female,61740.0,126015.0,583,2
6478,175990.65,27.167435937017597,54.313163746074544,0,71,Male,29243.0,30686.0,726,4
8602,223104.23,25.936320623110905,56.65635776899111,0,78,Female,8526.0,3723.0,684,3
8020,352838.76,43.994857855361595,72.40168586446529,0,85,Male,38194.0,1674.0,680,3
6229,80018.39,12.846105313854551,34.704286953724115,0,61,Female,63781.0,111808.0,654,1
9433,439052.25,46.544286017173754,110.6615801879222,0,62,Male,53996.0,98211.0,632,4
11153,321807.32,28.853879673630413,46.20022962242953,0,47,Male,25434.0,45540.0,712,4
7860,262495.97,33.39643384223918,75.29885886196622,0,69,Male,16542.0,36831.0,733,3
6812,258785.53,37.989655020551965,79.35672219973873,0,68,Female,39238.0,85457.0,702,4
8335,396436.35,47.56284943011397,76.13146245697025,0,29,Female,51303.0,106248.0,688,3
20949,1535007.8,73.27355959711682,79.53351453355168,0,56,Female,63796.0,82173.0,730,3
23922,723073.38,30.226292952094308,67.8934242295397,0,49,Female,39700.0,59062.0,701,3
13943,294372.93,21.11259628487413,59.26311916857521,0,61,Female,44583.0,85531.0,717,5
10679,436908.16,40.912834535068825,66.98984290023346,0,28,Female,43826.0,84935.0,823,1
6635,361561.45,54.49305953278071,103.9073816223187,1,38,Female,52512.0,95640.0,706,2
11606,329980.34,28.43187489229709,62.05299649780092,0,85,Female,25066.0,424.0,695,7
10233,612451.4,59.850620541385716,77.16891999572901,0,47,Female,34057.0,59247.0,655,4
12112,759927.53,62.741704920739764,115.6709388082141,0,44,Female,93406.0,151935.0,801,3
13263,400911.12,30.22778556887582,65.07561783406163,0,78,Female,22290.0,9235.0,716,6
15536,323080.49,20.795603115345006,58.022997380334495,0,40,Male,35418.0,51741.0,660,6
9068,551051.88,60.768844287604765,112.05133865616531,0,39,Female,51465.0,0.0,702,2
8778,330165.3,37.61281613123718,79.0507085421702,0,51,Female,34517.0,74143.0,645,2
11902,690373.45,58.0048269198454,50.17021243121367,0,42,Male,41997.0,0.0,704,3
8470,254312.16,30.025048406139316,68.11829577305858,0,54,Female,38318.0,93284.0,748,6
6651,521226.27,78.36810554803789,111.0272881365969,0,48,Male,53478.0,73030.0,674,3
4636,215669.21,46.52053710094909,84.30952121140264,1,54,Female,41957.0,151027.0,783,3
