track_id,artist_count,spotify_chart,streams,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
0,2,147,141381703,125,B,Major,80,89,83,31,0,8,4
1,1,48,133716286,92,C#,Major,71,61,74,7,0,10,4
2,1,113,140003974,138,F,Major,51,32,53,17,0,31,6
3,1,100,800840817,170,A,Major,55,58,72,11,0,11,15
4,1,50,303236322,144,A,Minor,65,23,80,14,63,11,6
5,2,91,183706234,141,C#,Major,92,66,58,19,0,8,24
6,2,50,725980112,148,F,Minor,67,83,76,48,0,8,3
7,1,43,58149378,100,F,Major,67,26,71,37,0,11,4
8,1,83,95217315,130,C#,Minor,85,22,62,12,0,28,9
9,2,44,553634067,170,D,Minor,81,56,48,21,0,8,33
10,2,40,505671438,83,F#,Minor,57,56,72,23,0,27,5
11,1,55,58255150,150,F,Minor,78,52,82,18,0,15,7
12,1,115,1316855716,118,,Major,71,65,68,6,0,3,7
13,1,98,387570742,130,D,Minor,51,32,43,83,0,9,3
14,1,130,2513188493,174,F#,Minor,52,66,73,34,0,31,6
15,1,77,1163093654,89,G#,Major,64,43,73,5,17,16,4
16,1,77,496795686,120,B,Minor,78,76,59,43,0,34,3
17,1,104,30546883,78,,Major,44,14,9,96,0,10,3
18,2,40,335222234,100,B,Major,86,67,66,14,0,12,16
19,1,68,363369738,120,G,Major,63,36,73,0,0,36,4
20,3,26,86444842,140,F,Minor,65,87,74,22,0,42,4
21,1,38,52135248,123,F#,Major,69,82,76,6,0,6,3
22,1,110,1297026226,135,,Minor,48,44,42,12,2,11,3
23,2,40,200647221,133,F,Minor,85,81,67,26,0,12,5
24,3,87,115364561,99,C#,Major,85,83,68,7,0,36,20
25,1,26,78300654,130,G,Minor,79,96,86,9,0,9,9
26,2,77,899183384,107,B,Major,80,82,80,43,0,14,4
27,2,40,61245289,122,F#,Minor,81,74,71,14,0,56,4
28,1,19,429829812,204,F#,Major,52,52,68,46,0,15,4
29,1,101,127408954,110,B,Minor,67,78,85,2,0,33,5
30,1,78,22581161,126,F,Minor,74,35,84,0,0,11,6
31,2,34,52294266,168,F#,Major,56,63,87,39,0,11,5
32,3,88,843957510,98,C#,Minor,71,17,61,36,0,8,5
33,1,56,999748277,97,E,Major,64,51,63,12,0,19,5
34,2,49,618990393,180,E,Minor,72,61,63,67,0,9,28
35,8,31,123122413,120,,Major,81,63,68,11,0,11,4
36,2,34,188933502,150,F#,Major,61,39,73,37,0,11,3
37,1,53,1355959075,96,F,Major,75,57,68,9,0,13,6
38,1,42,786181836,95,D,Major,60,48,79,0,0,12,4
39,1,28,176553476,125,F,Minor,79,96,85,27,0,11,6
40,2,25,354495408,144,A,Minor,56,84,65,23,0,10,6
41,2,78,2808096550,90,D,Major,76,91,50,54,0,7,5
42,2,80,1109433169,128,G,Minor,56,38,97,4,0,35,4
43,3,64,1047101291,79,F#,Major,56,58,56,37,0,11,10
44,3,80,65156199,144,,Major,77,75,58,52,0,23,25
45,1,19,570515054,122,F,Major,67,49,64,10,0,10,3
46,1,76,1085685420,140,,Major,71,82,81,11,0,6,5
47,1,59,1647990401,134,C#,Minor,59,51,52,9,0,15,7
48,2,79,2565529693,186,G,Major,68,49,59,16,0,13,28
49,2,47,518745108,67,C#,Minor,53,50,53,23,0,44,7
50,3,38,107753850,106,A#,Minor,72,17,64,7,0,10,5
51,3,66,177740666,128,G,Major,60,23,91,0,0,12,3
52,1,39,153372011,107,F#,Minor,92,55,70,18,0,15,7
53,1,59,57876440,130,G,Minor,67,96,88,12,19,8,4
54,1,83,1813673666,123,E,Minor,45,13,54,70,0,9,4
55,1,69,3703895074,171,C#,Major,50,38,80,0,0,9,7
56,1,42,256483385,137,G,Minor,64,88,72,51,0,17,5
57,1,45,1214083358,125,G,Minor,84,85,68,58,0,22,4
58,1,41,16011326,128,,Minor,86,42,72,59,0,9,19
59,1,29,812019557,130,,Minor,61,53,58,55,0,27,4
60,2,15,111947664,130,B,Major,86,59,96,50,1,9,5
61,2,41,156338624,133,F,Major,70,86,81,25,0,25,5
62,3,39,720434240,101,D,Major,88,72,59,62,0,9,3
63,2,50,357925728,95,F,Minor,77,53,64,74,0,17,14
64,2,38,674072710,98,C#,Minor,90,40,59,0,0,10,29
65,1,43,1755214421,173,B,Major,43,28,66,0,0,23,3
66,1,23,404562836,90,G#,Major,64,10,62,7,0,48,7
67,1,56,373199958,198,A#,Minor,59,71,42,55,0,10,7
68,1,36,14780425,140,C#,Major,56,48,73,0,0,35,4
69,1,24,39578178,82,G#,Major,51,22,53,1,0,15,3
70,2,35,54266102,130,C#,Minor,77,84,89,17,0,43,5
71,1,63,2557975762,81,B,Major,76,53,53,44,0,9,9
72,1,36,751134527,94,C#,Minor,51,14,59,65,18,25,3
73,1,61,2282771485,124,A#,Major,61,41,81,5,2,10,3
74,2,45,1356565093,128,D,Major,62,55,78,1,3,23,4
