lwage,female,age,race,children,marital,education,RN_experience,left_nursing,country_ed_US,english_only,military,certificates,labor_union,work_setting,work_situation,level_care,care_specialty,state
3.4933126,0,37,white,0,never_married,ed_assoc,5,left_0,1,1,served_training_mil,2,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n43
3.8607297,1,55,other_race,0,currently_married,ed_assoc,27,left_0,1,1,never_served_mil,1,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n46
4.0582056,1,62,asian,0,currently_married,ed_bsn,40,left_0,0,0,never_served_mil,2,0,SET_hospital,SIT_agency_facility,LC_inpatient,CC_oncology,state_n26
3.6687927,1,62,white,0,currently_married,ed_msn,35,left_0,1,1,never_served_mil,1,1,SET_ambulatory,SIT_agency_facility,LC_admin,CC_ambulatory_care,state_n27
4.1069956,1,28,white,1,currently_married,ed_bsn,5,left_0,1,1,never_served_mil,3,1,SET_hospital,SIT_agency_facility,LC_inpatient,CC_medical_surgical,state_n39
3.344039,1,62,white,0,currently_married,ed_assoc,22,left_35,1,1,never_served_mil,1,0,SET_other_setting,SIT_agency_facility,LC_nursing_home,CC_hospice,state_n28
3.6784081,1,66,white,0,widowed_divorced_sep,ed_assoc,45,left5plus,1,1,never_served_mil,0,0,SET_other_setting,SIT_agency_facility,LC_care_coordination,CC_no_patient_care,state_n19
4.001635,1,52,white,0,currently_married,ed_assoc,31,left_0,1,0,never_served_mil,0,0,SET_other_setting,SIT_agency_facility,LC_care_coordination,CC_no_patient_care,state_n10
4.086376,1,36,other_race,1,currently_married,ed_bsn,11,left_0,1,1,never_served_mil,2,1,SET_hospital,SIT_agency_facility,LC_others,CC_medical_surgical,state_n4
3.259698,1,37,hispanic,1,currently_married,ed_assoc,6,left_0,1,1,never_served_mil,4,0,SET_hospital,SIT_agency_facility,LC_emergency,CC_emergency_care,state_n9
4.001635,1,59,white,0,currently_married,ed_phd,31,left_0,1,1,never_served_mil,1,0,SET_other_setting,SIT_agency_facility,LC_education,CC_no_patient_care,state_n14
